ID X Y
37.91.25.0.1. 977152.1544 997508.0658
37.94.26.0.1. 977153.1204 997505.7934
37.97.29.0.1. 977152.1733 997504.7863
38.109.27.0.1. 977144.6301 997481.5426
38.10A.34A.0.3.0. 977159.1272 997482.5031
38.10B.23.0.1. 977160.0563 997482.4385
38.110.0.5.0. 977153.4589 997489.3301
38.111.26.0.1. 977152.7 997488.7453
38.14.18.0.1. 977161.0883 997478.2355
38.18.10.0.1. 977154.5123 997472.4758
38.22.28.2.0.1. 977156.6192 997483.2071
38.30.22.0.1. 977153.1968 997486.5854
38.33.60.6.0.1. 977152.0517 997485.4159
38.34.0.4.0. 977157.6547 997483.0385
38.36.94.0.1.0. 977159.8949 997491.6915
38.44.8.0.1. 977149.6816 997472.5068
38.45.7.0.1. 977149.5301 997474.7941
38.51.3.0.1. 977157.8109 997485.1421
38.54.4.0.1. 977150.4117 997485.2724
38.57.58.25.0.1. 977152.193 997490.4669
38.57.58.25.0.2. 977151.8955 997489.7928
38.62A.14.0.1. 977155.9592 997487.4184
38.62B.15.0.1. 977156.2228 997486.7205
38.62B.15.0.2. 977156.6741 997487.3027
38.65.12.0.1. 977146.6092 997482.9956
38.66.5.0.1. 977150.6867 997476.7584
38.68.69.21.0.1. 977157.6075 997490.2439
38.70.0.2.0. 977148.757 997482.5193
38.72.20.0.1. 977157.5878 997491.7651
38.77.16.0.1. 977148.2319 997489.2617
38.8.9.0.1. 977155.8555 997477.3078
38.84.13.0.1. 977143.2848 997482.1053
38.85.11.0.1. 977145.0546 997480.0244
38.88.19.0.1. 977145.2538 997486.6357
38.89.17.0.1. 977144.1366 997486.8134
38.93.1.0.1. 977145.0725 997485.745
38.95.24.0.1. 977156.0347 997490.0739
39.10.1.0.1. 977169.7149 997455.1717
39.13.0.2.0. 977160.4385 997465.8954
39.18.0.3.0. 977154.3448 997466.6583
39.19.0.4.0. 977152.5028 997466.9724
39.20.0.5.0. 977157.6979 997459.1967
39.22.0.6.0. 977157.5807 997458.56
39.31.0.7.0. 977153.7687 997451.8864
39.33.0.8.0. 977151.2837 997468.5615
39.35.2.0.1. 977155.8005 997457.551
39.5.0.1.0. 977159.0372 997466.356
4.1.1.0.1. 977193.1053 997522.4259
4.100.9.0.1. 977175.9687 997520.0363
4.100.9.0.2. 977176.0602 997520.3046
4.102.11.0.1. 977177.4077 997511.8319
4.103A.10.0.1. 977179.064 997530.4551
4.103C.27.0.1. 977180.0392 997530.5231
4.107.5.0.1. 977180.1687 997511.7883
4.110.22.0.1. 977180.783 997516.4565
4.112.0.5.0. 977179.8551 997525.613
4.121.18.0.1. 977189.6246 997526.8681
4.124.0.6.0. 977179.6589 997519.8701
4.125.24.0.1. 977185.3941 997522.2545
4.126.20.0.1. 977186.328 997524.0371
4.127.14.0.1. 977185.2416 997527.171
4.133.16.0.1. 977183.6657 997526.4
4.140.13.0.1. 977188.5453 997523.255
4.142.17.0.1. 977188.573 997519.3932
4.144.21.0.1. 977180.7407 997528.4538
4.146.0.7.0. 977185.1255 997519.968
4.153.26.0.1. 977186.5635 997529.0577
4.155.0.1.0. 977183.8502 997527.8123
4.168.29.0.1. 977173.2655 997522.3116
4.18.2.0.1. 977192.3141 997516.952
4.18B.0.2.NA. 977191.8842 997515.4139
4.19.0.3.NA. 977190.6562 997528.2977
4.28.25.0.1. 977191.838 997532.3114
4.33.3.0.1. 977191.8991 997535.4262
4.61.6.0.1. 977184.973 997524.3433
4.77.8.0.1. 977188.4228 997529.9168
4.79.0.4.0. 977181.7751 997530.616
4.80.19.0.1. 977186.9963 997528.9395
4.82.28.0.1. 977176.6739 997529.6319
4.83.4.0.1. 977184.0509 997529.5082
4.83.4.0.2. 977184.1716 997529.8116
4.83.4.0.3. 977183.9104 997529.2163
4.84.7.0.1. 977177.784 997528.3281
4.84.7.0.2. 977177.7892 997528.4431
4.90.23.0.1. 977180.6316 997526.0585
4.97.12.0.1. 977174.7968 997523.4906
4.98.15.0.1. 977177.8344 997524.8275
40.12.62.0.2.0. 977157.4594 997436.5851
40.27.0.3.0. 977154.4864 997442.7479
40.38.2.0.1. 977169.8134 997437.1042
40.44.1.0.1. 977167.9262 997445.1766
40.45.0.4.0. 977168.2124 997439.9308
40.47.0.5.0. 977169.0398 997433.4363
41.1.7.0.1. 977174.7334 997430.5789
41.11.0.5.0. 977175.6402 997421.4488
41.12.12A.16.0.1. 977174.6273 997426.1125
41.12.12A.16.0.2. 977172.9048 997426.0482
41.12.12A.16.0.3. 977173.0088 997425.6829
41.12B.0.4.0. 977173.7736 997425.9946
41.16.10.0.1. 977171.4564 997429.4354
41.18.4.0.1. 977173.3092 997422.7425
41.2.17.0.1. 977173.9895 997427.2304
41.23.0.3.0. 977174.0697 997417.1782
41.24.12.0.1. 977173.2025 997416.5551
41.28.13.0.1. 977174.133 997414.8076
41.29.11.0.1. 977170.5265 997424.0976
41.30.14.0.1. 977171.1991 997425.9566
41.31.8.0.1. 977169.6595 997427.7517
41.3A.5.0.1. 977178.748 997421.1518
41.3B.0.1.0. 977177.9684 997420.6804
41.3C.6.0.1. 977177.6651 997420.1138
41.3C.6.0.2. 977177.7136 997420.0532
41.4.3.0.1. 977177.374 997419.4907
41.48.15.0.1. 977172.2395 997422.1305
41.48.15.0.2. 977172.4022 997421.0935
41.48.15.0.3. 977171.1186 997420.6211
41.48.15.0.4. 977169.9967 997421.099
41.48.15.0.5. 977170.2745 997422.2034
41.48.15.0.6. 977171.4542 997423.0411
41.48.15.0.7. 977171.3743 997422.4725
41.48.15.0.NI1. 977170.7154 997421.6083
41.48.15.0.NI2. 977171.5463 997421.4938
41.5.9.0.1. 977177.772 997418.8919
41.6.0.2.0. 977176.3655 997414.7221
41.7.18.0.1. 977176.0786 997418.9885
