ID X Y
37.154.3.9 977153.373 997493.3278
37.16.3.8 977158.574 997492.7105
37.169.5.15 977150.746 997494.2785
37.18.5.19 977158.7937 997494.2115
37.19.5.15 977159.1509 997494.8081
37.196.6.21 977151.0976 997498.9516
37.197.3.12 977152.0688 997500.2966
37.206.6.22 977150.6384 997506.6892
37.214.3.11 977147.6629 997504.2511
37.217.6.21 977148.8906 997500.1741
37.225.6.21 977151.254 997493.7854
37.256.3.11 977148.0464 997498.6225
37.258.6.22 977146.4826 997500.8501
37.260.3.13 977147.2123 997503.3561
37.261.3.11 977146.8856 997504.2453
37.263.6.21 977143.216 997506.8953
37.264.3.12 977143.4713 997505.2221
37.265.3.12 977143.6523 997504.398
37.267.3.11 977145.2973 997502.1308
37.272.3.11 977145.5853 997500.616
37.280.6.21 977145.6115 997494.2717
37.283.3.9 977143.1443 997499.0025
37.286.3.8 977143.1205 997489.496
37.29.6.22 977158.2691 997499.7611
37.30.3.13 977158.6842 997499.2515
37.304.5.16 977141.6582 997495.1858
37.31.3.8 977157.0645 997501.2739
37.32.3.8 977158.0808 997501.2458
37.34.3.8 977157.5634 997494.9032
37.38.5.16 977157.1981 997493.5065
37.44.5.15 977145.9034 997504.2747
37.65.5.15 977149.1738 997506.7834
37.82.3.12 977156.3392 997499.9821
38.1.5.15 977163.9153 997476.1827
38.10.3.8 977160.8088 997482.0499
38.100.3.8 977154.0097 997489.2943
38.102.5.15 977153.6081 997481.7391
38.103.3.8 977157.6864 997488.1447
38.107.6.21 977153.1727 997489.7524
38.11.3.8 977157.8551 997479.891
38.113.5.15 977153.3559 997483.454
38.114.6.24 977160.7538 997490.4565
38.13.3.8 977159.0293 997478.1672
38.15.3.8 977162.6425 997483.8169
38.16.3.8 977162.3556 997484.5275
38.19.5.15 977154.1255 997480.4969
38.2.5.16 977159.6253 997476.6752
38.20.5.15 977155.0497 997481.8448
38.20A.3.8 977155.8173 997481.0128
38.21.3.8 977156.7677 997481.3616
38.22A.5.15 977156.284 997482.2184
38.23.3.12 977160.2569 997484.6912
38.24.3.8 977160.0229 997488.533
38.25.5.15 977155.0148 997486.2148
38.27.5.15 977153.9496 997486.2442
38.29.5.15 977154.4929 997487.7426
38.3.5.15 977158.3905 997476.4379
38.31.6.21 977154.6141 997488.6933
38.31A.3.8 977153.9537 997488.5333
38.35.5.15 977152.6899 997477.2857
38.4.5.15 977160.1572 997477.3495
38.43.3.8 977152.7147 997478.6365
38.49.3.8 977152.5292 997482.6256
38.52.5.15 977152.4848 997481.4978
38.53.5.15 977150.9385 997482.5886
38.6.3.12 977162.4187 997479.7816
38.61.5.16 977147.4902 997482.0621
38.63.5.15 977157.6208 997487.2602
38.64.3.12 977150.4607 997487.349
38.67.3.12 977149.9537 997480.7654
38.7.5.16 977163.1809 997480.2522
38.71.3.13 977145.2532 997471.8941
38.75.5.14 977149.1162 997487.0679
38.76.5.14 977149.683 997485.7279
38.87.5.15 977163.6721 997474.3843
38.92.3.8 977144.6828 997485.1883
39.15.6.21 977163.3655 997464.2304
39.16.6.22 977153.6264 997468.9221
39.17.6.20 977163.5293 997466.9387
39.24.6.22 977162.7073 997455.4676
39.25.6.21 977155.904 997458.4123
39.28.6.22 977156.9162 997451.933
39.29.3.12 977152.7836 997454.8888
39.30.6.24 977152.1111 997458.5035
39.32.6.22 977155.5557 997453.9958
39.34.6.22 977151.3386 997449.7752
39.36.5.16 977146.9537 997466.5572
