Corte Cuadricula Nivel Tipos_Ceramicos Diametro Forma
4 P7 1 Mosquera_Roca_Triturada 22 Indeterminado
4 P10 1 Funza_Cuarzo_Abundante 16 Olla
4 Q2 1 Zipaquira_Desgrasante_Tiesto 18 Cuenco
4 P8 1 Guatavita_Desgrasante_Tiesto NA Olla
4 Q6 1 Desgrasante_Gris 14 Olla
4 Q6 1 Mosquera_Rojo_Inciso 8 Olla
4 Q4 1 Desgrasante_Gris 20 Olla
4 Q4 1 Desgrasante_Gris 10 Cuenco
4 Q4 1 Desgrasante_Gris NA Olla
4 Q4 1 Funza_Cuarzo_Abundante 18 Cuenco
4 Q3 1 Desgrasante_Gris 36 Olla
4 Q3 1 Desgrasante_Gris NA Cuenco
4 Q2 1 Desgrasante_Gris 20 Cuenco
4 Q2 1 Funza_Cuarzo_Abundante 18 Cuenco
4 Q2 1 Funza_Cuarzo_Fino 12 Olla
4 P14 1 Funza_Cuarzo_Abundante 28 Olla
4 P14 1 Desgrasante_Gris NA Cuenco
4 P15 1 Desgrasante_Gris 12 Cuenco
4 P13 1 Funza_Cuarzo_Abundante 10 Cuenco
4 P13 1 Funza_Cuarzo_Abundante 12 Olla
4 P13 1 Funza_Cuarzo_Abundante 12 Cuenco
4 P12 1 Funza_Cuarzo_Abundante 24 Olla
4 P12 1 Funza_Cuarzo_Abundante 14 Olla
4 P12 1 Funza_Cuarzo_Abundante 20 Olla
4 P12 1 Funza_Cuarzo_Abundante 16 Cuenco
4 P12 1 Funza_Cuarzo_Fino 10 Cuenco
4 P12 1 Mosquera_Rojo_Inciso 32 Cuenco
4 P10 1 Funza_Cuarzo_Abundante 8 Cuenco
4 P10 1 Funza_Cuarzo_Abundante 14 Olla
4 P9 1 Desgrasante_Gris NA Cuenco
4 P9 1 Desgrasante_Gris 20 Olla
4 P9 1 Funza_Cuarzo_Abundante 22 Cuenco
4 P8 1 Desgrasante_Gris NA Olla
4 H14 1 Desgrasante_Gris NA Olla
4 P10 1 Funza_Cuarzo_Abundante 16 Indeterminado
4 H11 1 Desgrasante_Gris 14 Cuenco
4 P3 1 Funza_Cuarzo_Abundante 22 Olla
4 H11 1 Funza_Cuarzo_Abundante NA Cuenco
4 H13 1 Desgrasante_Gris 34 Cuenco
4 H13 1 Funza_Cuarzo_Abundante 14 Cuenco
4 H13 1 Funza_Cuarzo_Abundante 12 Cuenco
4 H14 1 Funza_Cuarzo_Abundante 10 Olla
4 H2 1 Desgrasante_Gris 24 Olla
4 H13 1 Desgrasante_Gris 26 Cuenco
4 H13 1 Funza_Cuarzo_Abundante 22 Olla
4 H13 1 Desgrasante_Gris 34 Cuenco
4 H13 1 Funza_Cuarzo_Abundante 14 Cuenco
4 H13 1 Funza_Cuarzo_Abundante NA Olla
4 H13 1 Funza_Cuarzo_Abundante 12 Cuenco
4 H14 1 Desgrasante_Gris NA Cuenco
4 H11 1 Funza_Cuarzo_Abundante 20 Olla
4 H14 1 Funza_Cuarzo_Abundante 8 Cuenco
4 H14 1 Funza_Cuarzo_Abundante 10 Cuenco
4 H10 1 Funza_Cuarzo_Abundante 32 Olla
4 H10 1 Funza_Cuarzo_Abundante 14 Olla
4 H15 1 Desgrasante_Gris 36 Cuenco
4 P4 1 Mosquera_Rojo_Inciso 18 Indeterminado
4 P2 2 Funza_Cuarzo_Abundante 12 Cuenco
4 P3 2 Desgrasante_Gris 30 Olla
4 P3 2 Funza_Cuarzo_Abundante NA Olla
4 Q4 2 Guatavita_Desgrasante_Tiesto NA Cuenco
4 P9 2 Desgrasante_Gris 8 Olla
4 P7 2 Funza_Cuarzo_Abundante NA Olla
4 P7 2 Funza_Cuarzo_Abundante 8 Olla
4 Q3 2 Funza_Cuarzo_Abundante 18 Indeterminado
4 P1 2 Desgrasante_Gris 20 Olla
4 P 2 Funza_Cuarzo_Abundante 12 Cuenco
4 P 2 Funza_Cuarzo_Abundante 30 Cuenco
4 H13 2 Desgrasante_Gris 22 Olla
4 P 2 Funza_Cuarzo_Abundante 20 Indeterminado
4 P5 3 Desgrasante_Gris NA Cuenco
4 Q6 3 Mosquera_Roca_Triturada 14 Cuenco
4 P11 3 Funza_Cuarzo_Abundante 18 Olla
4 P4 3 Desgrasante_Gris 12 Olla
4 M11 1 Desgrasante_Gris 32 Cuenco
4 M10 1 Desgrasante_Gris 34 Cuenco
4 M3 1 Funza_Cuarzo_Abundante 14 Cuenco
4 M6 1 Funza_Cuarzo_Abundante 10 Cuenco
4 N8 1 Zipaquira_Desgrasante_Tiesto 36 Olla
4 M12 1 Funza_Cuarzo_Abundante 30 Cuenco
4 M12 1 Funza_Cuarzo_Abundante 32 Cuenco
4 M11 1 Funza_Cuarzo_Abundante 30 Cuenco
4 M10 1 Funza_Cuarzo_Abundante 32 Cuenco
4 M10 1 Funza_Cuarzo_Abundante 16 Olla
4 M10 1 Funza_Cuarzo_Abundante 18 Olla
4 M10 1 Funza_Cuarzo_Abundante 26 Cuenco
4 M10 1 Funza_Cuarzo_Abundante 32 Cuenco
4 M10 1 Funza_Cuarzo_Abundante 42 Cuenco
4 M9 1 Desgrasante_Gris 10 Cuenco
4 M9 1 Desgrasante_Gris 12 Cuenco
4 M9 1 Desgrasante_Gris 18 Cuenco
4 M7 1 Mosquera_Roca_Triturada 40 Olla
4 M7 1 Desgrasante_Gris 24 Cuenco
4 M6 1 Funza_Cuarzo_Abundante 40 Olla
4 M5 1 Desgrasante_Gris 30 Olla
4 M4 1 Funza_Cuarzo_Abundante 16 Cuenco
4 M4 1 Mosquera_Roca_Triturada 16 Olla
4 M3 1 Roca_Triturada 8 Olla
4 M3 1 Desgrasante_Gris 12 Cuenco
4 M2 1 Funza_Cuarzo_Abundante 20 Olla
4 M1 1 Funza_Cuarzo_Abundante 10 Olla
4 M1 1 Funza_Cuarzo_Abundante 20 Cuenco
4 L15 1 Funza_Cuarzo_Abundante 10 Olla
